Timestamp,Mode,Lane 1 (N),Lane 2 (E),Lane 3 (S),Lane 4 (W),Total
2026-03-19 20:01:26,Adaptive,40,32,41,29,142
2026-03-19 20:07:45,Adaptive,92,77,78,95,342
2026-03-19 20:32:08,Adaptive,100,84,103,91,378
2026-03-19 20:37:14,Adaptive,86,96,82,84,348
2026-03-19 23:05:13,Adaptive,32,21,25,15,93
2026-03-22 19:25:25,Adaptive,0,12,9,9,30
2026-04-27 19:35:39,Adaptive,84,79,95,91,349
2026-04-27 20:57:06,Adaptive,23,16,20,25,84
2026-04-27 20:59:05,Adaptive,24,31,27,25,107
2026-04-27 21:21:14,Adaptive,73,98,86,83,340
2026-04-27 23:05:38,Adaptive,92,81,83,90,346
